Base Word,Level
(all) in one,C2
(all) on your own,B1
(all) to myself,C1
(at) any minute; any minute now,B2
"(be) concentrated around/in/on, etc.",C1
(be) green with envy,C2
(be) in your eighties,B2
(be) in your fifties,B2
(be) in your forties,B2
(be) in your nineties,B2
(be) in your seventies,B2
(be) in your sixties,B2
(be) in your thirties,B2
(be) in your twenties,B2
(be) on the line,C2
(be) out of line,C2
(be) torn between sth and sth,C2
(by) herself,A2
(by) himself,A2
(by) itself,B1
(by) myself,A2
(by) ourselves,A2
(by) themselves,A2
(by) yourself,A2
(every) once in a while,B2
(Good) morning,A1
(have) the best of both worlds,C1
(I'll) tell you what,C2
(just) in case,B1
(keep sb) at arm's length,C2
(take) the easy way out,C1
(that's) fine,A1
(the) chances are,C2
"(the) most attractive/important/popular, etc.",A2
(the) seeds of sth,C2
(the) West,B2
"10/20, etc. years sb's junior",C2
"2/3/4, etc. o'clock in the morning",B1
"2/5/8, etc. all",B1
"5 miles/10 metres, etc. wide",B1
a,A1
"a bad/good, etc. judge of sth",C2
"a bad/rough, etc. patch",C2
a balanced diet/meal,B2
a bit,A2
"a bit of a change/fool/problem, etc.",C1
a bite (to eat),C2
a bone of contention,C2
"a book of stamps/tickets, etc.",C2
"a book/cat/dog, etc. lover",B1
a breath of fresh air,C2
"a broad range/variety, etc.",B1
"a broken arm/leg, etc.",A2
a broken heart,B2
a broken home,C2
a bundle of energy/nerves,C2
a burning issue/question,C1
a call for sth,C1
a certain,B2
a change of clothes,A2
a change of heart,C2
a clap of thunder,C2
a conflict of interest,C2
"a conscious decision/choice/effort, etc.",C2
"a dance/language/riding, etc. school",A2
a deep sleep,B2
"a dim memory/recollection, etc.",C2
"a display of affection/anger, etc.",C2
a dose of sth,B2
a double-edged sword,C2
a downward spiral,C2
a drain on sth,C2
a drop in the ocean,C2
"a fair amount/distance/size, etc.",C2
a faraway look/expression,C2
a fast track (to sth),C2
a few,A2
a fine/thin line,C1
a flight of stairs/steps,C2
a force to be reckoned with,C2
a free hand,C2
"a further 10/100, etc.",C1
a gap in the market,C2
"a good 20 minutes/30 miles, etc.",C2
a good deal,C1
"a good/easy, etc. read",C2
a good/great deal,B2
a great deal,B2
a hand,B1
a handful of,B2
"a handsome profit/sum, etc.",C2
a hint of sth,C2
a history of sth,C1
a hold on/over sth/sb,C2
a horror film/movie/story,B1
a host of sth,C1
a hot issue/topic,C1
a labour of love,C2
a last resort,C2
a little,B2
a little bit,A2
a little sth,B1
a load/loads,B1
a lot,A1
a lot/lots,A1
a mark of sth,C2
a mass of sth,B2
"a matter of confidence/luck/waiting, etc.",C2
a matter of course,C1
a matter of days/weeks/feet etc.,C2
a matter of life and/or death,C2
a means to an end,C2
a measure of sth,C2
a narrow escape,C2
a nest egg,C2
a number of sth,B2
a passion for sth,C1
a passport to sth,C2
a pile of/ piles of sth,B2
a pity,A2
a plethora of sth,C2
"a profound effect/impact/influence, etc.",C2
"a public announcement/appearance/statement, etc.",C2
"a quick/slow/good, etc. worker",B1
"a ray of comfort/hope, etc.",C2
a reflection of sth,C1
a riot of sth,C2
a roof over your head,C2
a rough/bumpy ride,C2
a rule of thumb,C1
a run of sth,C2
a safe bet,C2
a safe place; somewhere safe,C1
a sales/shop assistant,A2
a sense of humour,B1
a shade,C1
a shame,A2
"a sharp bend/turn, etc.",C2
"a sharp contrast/difference, etc.",C2
a sharp pain,C2
"a sharp rise/increase/drop, etc.",B2
"a sheet of paper/glass, etc.",A2
"a short/ten-minute, etc. walk",B2
a shoulder to cry on,C2
a skeleton crew/staff/service,C1
a slap in the face,C2
a sleepless night,C1
a sore point,C2
a sound/special/visual effect,B1
a stone's throw,C2
a stream of sth,B2
a string of sth,C2
a stroke of luck,C2
a stroll/trip/walk down memory lane,C2
"a strong chance/possibility, etc.",C2
a suggestion of/that sth,C2
a sure thing,C1
a taste for sth,C2
a thing,B1
a thirst for sth,C2
a tight corner,C2
a touch,C2
a vain attempt/effort/hope,C2
a variety of sth/sb,A2
a vehicle for sth/doing sth,C2
a vicious circle/cycle,C2
"a wave of hatred/enthusiasm/sadness, etc.",C2
a wealth of sth,C2
"a week/six months/ten years, etc. from now",B2
a while,B1
"a wide range/selection/variety, etc.",B1
"a wild accusation/guess/rumour, etc.",C2
a working knowledge of sth,B2
a.m.,A1
a/one hell of a,C2
a/sb's way of life,B1
a/some degree of sth,C2
a/the prime example,C2
abandon,B2
abandoned,B2
ability,B1
able,C2
abnormal,C1
aboard,C1
abolish,B2
abortion,C1
about,A1
about/high time,C1
above,A1
above all,B1
abroad,B1
abrupt,C2
abruptly,C2
absence,B2
absent,B1
absolute,B2
absolutely,B1
Absolutely not.,C2
Absolutely!,C1
absorb,B2
abstract,B2
absurd,B2
abuse,B2
abusive,C2
academic,B2
accelerate,C1
accent,B1
accept,B1
accept responsibility/blame,B2
acceptable,B1
acceptance,C1
accepted,C1
access,B1
accessible,B2
accessory,C1
accident,A2
"accident-/injury-, etc. prone",C2
accidental,B2
accidentally,B2
acclaimed,C1
accommodation,B1
accompany,B1
accomplish,C1
according to,B1
account,B1
account for sth,C2
accountable,C2
accountant,B1
accumulate,C1
accumulation,C2
accuracy,B2
accurate,B1
accurately,B1
accusation,C1
accuse,B2
accustomed to sth/doing sth,C1
ache,B1
achieve,B1
achievement,B1
acid,B2
acknowledge,C1
acquaintance,C1
acquire,B2
acre,C2
across,A2
across the board,C2
act,B1
act as sth,B2
action,B1
active,B1
actively,B2
activity,A2
actor,A2
actual,B2
actually,A2
ad,B1
adapt,B2
adaptation,C1
add,A2
add insult to injury,C2
add to sth,B2
add up (sth) or add (sth) up,B1
addict,B2
addicted,B2
addiction,B2
addictive,C1
addition,B2
additional,B2
additionally,B2
address,A1
adequate,B2
adequately,B2
adjacent,C2
adjective,A2
adjust,B2
adjustment,B2
administration,C1
administrative,C1
administrator,C1
admiration,B2
admire,B1
admission,B1
admit,B1
admittedly,B2
adolescent,C2
adopt,B2
adopted,B2
adoption,B2
adult,A1
advance,B2
advanced,A2
advantage,B1
adventure,A2
adventurous,B2
adverb,A2
adverse conditions/effect(s)/impact,C2
advert,B1
advertise,B1
advertisement,A2
advertising,B2
advice,A2
advise,B1
adviser,C1
advocate,C2
aeroplane,A2
affair,B2
affect,B2
affection,B2
affectionate,C2
affluent,C1
affordable,C1
afraid,A2
after,A1
after all,B1
afternoon,A1
afterwards,A2
again,A1
again and again,B1
against,A2
against all (the) odds,C2
"against sb's advice/wishes, etc.",C2
against the law,B2
age,A1
aged,A2
agency,B1
agenda,C1
agent,B2
ages,B1
aggression,C1
aggressive,B2
aggressively,B2
ago,A2
agree,A2
agree with sth,B2
agreement,B2
agriculture,B2
ahead,B1
ahead of time/schedule,C1
